id,lat,lon,locality,month,year,sex,mat,ml,wgt,analysis_date,fullness,full_wgt,empty_wgt,content_wgt
063015_003,,,Ben,,2015,,1,8.5,0.01,7/14/17,4,0.37,0.16,0.21
063015_004,,,Ben,,2015,,1,7.6,0.01,7/14/17,3,0.12,0.06,0.06
063015_005,,,Ben,,2015,,1,6.4,0.01,7/14/17,3,0.13,0.08,0.05
063015_006,,,Ben,,2015,,1,11.5,0.01,7/14/17,1,0.27,0.27,0
070315_001,,,Sta. Rosalia,,2015,F,5,19.1,0.1457,7/6/17,1,0.91,0.84,0.07
070315_002,,,Sta. Rosalia,,2015,F,5,18.4,0.1585,7/5/17,4,3.23,1.53,1.7
070315_003,,,Sta. Rosalia,,2015,F,4,18.5,0.1456,7/6/17,1,1.3,1.12,0.18
070315_004,,,Sta. Rosalia,,2015,F,4,17.4,0.1254,7/6/17,1,0.89,0.86,0.03
070315_005,,,Sta. Rosalia,,2015,F,5,17.9,0.1356,6/29/17,3,0.87,0.74,0.13
070315_006,,,Sta. Rosalia,,2015,F,3,17.3,0.1142,7/6/17,4,2.17,0.98,1.19
070315_007,,,Sta. Rosalia,,2015,F,3,15.1,0.086,7/6/17,1,0.59,0.54,0.05
070315_008,,,Sta. Rosalia,,2015,F,4,18.2,0.1386,7/6/17,2,0.92,0.77,0.15
070315_009,,,Sta. Rosalia,,2015,F,4,17.3,0.1386,7/6/17,1,0.87,0.84,0.03
070315_011,,,Sta. Rosalia,,2015,M,4,15.4,0.0899,6/29/17,3,0.65,0.5,0.15
070315_012,,,Sta. Rosalia,,2015,F,3,19,0.1666,7/3/17,1,1.22,1.12,0.1
070315_013,,,Sta. Rosalia,,2015,F,3,17.5,0.1188,7/6/17,1,1.21,1.11,0.1
070315_014,,,Sta. Rosalia,,2015,F,5,19.3,0.1799,7/6/17,0,1.25,1.25,0
070315_015,,,Sta. Rosalia,,2015,F,3,16.1,0.0932,7/6/17,2,0.68,0.56,0.12
070315_016,,,Sta. Rosalia,,2015,F,4,17.8,0.1151,6/29/17,3,1.17,0.95,0.22
070315_017,,,Sta. Rosalia,,2015,M,5,16.6,0.1142,6/29/17,1,0.71,0.6,0.11
070315_018,,,Sta. Rosalia,,2015,F,3,14.9,0.0803,7/6/17,1,0.66,0.55,0.11
070315_019,,,Sta. Rosalia,,2015,F,3,16.2,0.0916,7/6/17,1,0.53,0.52,0.01
070315_020,,,Sta. Rosalia,,2015,M,4,14.7,0.0729,7/6/17,1,0.29,0.29,0
070315_021,,,Sta. Rosalia,,2015,F,3,17.7,0.1267,7/6/17,4,1.81,0.98,0.83
070315_023,,,Sta. Rosalia,,2015,M,5,16.5,0.1038,7/6/17,1,0.44,0.43,0.01
070315_024,,,Sta. Rosalia,,2015,F,4,17.8,0.118,7/6/17,1,0.8,0.75,0.05
070315_025,,,Sta. Rosalia,,2015,F,4,16.8,0.1147,7/5/17,3,0.52,0.49,0.03
070315_026,,,Sta. Rosalia,,2015,F,2,12.8,0.0455,7/6/17,1,0.45,0.39,0.06
070315_027,,,Sta. Rosalia,,2015,M,3,13.9,0.0534,7/6/17,1,0.36,0.33,0.03
070315_028,,,Sta. Rosalia,,2015,F,3,15.3,0.0793,7/6/17,1,0.82,0.6,0.22
070315_030,,,Sta. Rosalia,,2015,F,5,19.7,0.1667,7/5/17,3,1.28,0.62,0.66
070315_031,,,Sta. Rosalia,,2015,F,4,17.6,0.1258,7/6/17,2,1.13,0.64,0.49
070315_032,,,Sta. Rosalia,,2015,F,3,14.8,0.07,7/6/17,1,0.5,0.48,0.02
070315_034,,,Sta. Rosalia,,2015,F,3,18.3,0.141,7/6/17,1,0.94,0.92,0.02
070315_035,,,Sta. Rosalia,,2015,F,3,16.3,0.1094,6/26/17,3,1.18,0.67,0.51
070315_036,,,Sta. Rosalia,,2015,F,5,18.3,0.1361,7/6/17,4,2.12,1.16,0.96
070315_037,,,Sta. Rosalia,,2015,F,3,15.4,0.0887,7/6/17,3,0.72,0.64,0.08
070315_038,,,Sta. Rosalia,,2015,F,2,14.5,0.0685,7/6/17,1,0.4,0.39,0.01
070315_039,,,Sta. Rosalia,,2015,F,5,21.3,0.211,7/3/17,0,2.27,2.22,0.05
