"","cruise_int","Date_M","Lat_M","Lon_M","date","year","mean sst","stdev sst","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median sst","mad sst","mean chlorophyll","stdev chlorophyll","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median chlorophyll","mad chlorophyll"
"1",7.175,20120820,28.33311677,-112.21643914,2012-08-20,"2012",NA,NA,0,"2012-08-20 12:00:00",-112.31643914,-112.11643914,28.23311677,28.43311677,15572,NA,NA,0.48156944476068,0.14802166394613,288,"2012-08-20 12:00:00",-112.31643914,-112.11643914,28.23311677,28.43311677,15572,0.44700001180172,0.10378201148808
"2",7.1751,20120820,28.32558211,-112.22194286,2012-08-20,"2012",NA,NA,0,"2012-08-20 12:00:00",-112.32194286,-112.12194286,28.22558211,28.42558211,15572,NA,NA,0.455489510735432,0.12401363030367,286,"2012-08-20 12:00:00",-112.32194286,-112.12194286,28.22558211,28.42558211,15572,0.43800000846386,0.0919211874514818
"3",7.1752,20120820,28.31858367,-112.22710772,2012-08-20,"2012",NA,NA,0,"2012-08-20 12:00:00",-112.32710772,-112.12710772,28.21858367,28.41858367,15572,NA,NA,0.442675183071707,0.108347090180652,274,"2012-08-20 12:00:00",-112.32710772,-112.12710772,28.21858367,28.41858367,15572,0.435999989509583,0.0867320879817009
"4",7.1753,20120820,28.31059325,-112.23302698,2012-08-20,"2012",NA,NA,0,"2012-08-20 12:00:00",-112.33302698,-112.13302698,28.21059325,28.41059325,15572,NA,NA,0.434960001056845,0.0987722549099032,275,"2012-08-20 12:00:00",-112.33302698,-112.13302698,28.21059325,28.41059325,15572,0.430000007152557,0.0845082166135311
"5",7.1754,20120820,28.30390019,-112.23877587,2012-08-20,"2012",NA,NA,0,"2012-08-20 12:00:00",-112.33877587,-112.13877587,28.20390019,28.40390019,15572,NA,NA,0.428747170488789,0.0938130407720849,265,"2012-08-20 12:00:00",-112.33877587,-112.13877587,28.20390019,28.40390019,15572,0.428000003099442,0.078577804595232
"6",7.1755,20120820,28.29581842,-112.24544494,2012-08-20,"2012",NA,NA,0,"2012-08-20 12:00:00",-112.34544494,-112.14544494,28.19581842,28.39581842,15572,NA,NA,0.422898496788247,0.0842252204084484,266,"2012-08-20 12:00:00",-112.34544494,-112.14544494,28.19581842,28.39581842,15572,0.419999986886978,0.0726473925769329
"7",7.1756,20120820,28.28928431,-112.25095351,2012-08-20,"2012",NA,NA,0,"2012-08-20 12:00:00",-112.35095351,-112.15095351,28.18928431,28.38928431,15572,NA,NA,0.417232825100877,0.0823367257779745,262,"2012-08-20 12:00:00",-112.35095351,-112.15095351,28.18928431,28.38928431,15572,0.414000004529953,0.0711648116648197
"8",7.1757,20120820,28.28222588,-112.2568453,2012-08-20,"2012",NA,NA,0,"2012-08-20 12:00:00",-112.3568453,-112.1568453,28.18222588,28.38222588,15572,NA,NA,0.417056818351601,0.08446940430924,264,"2012-08-20 12:00:00",-112.3568453,-112.1568453,28.18222588,28.38222588,15572,0.408999994397163,0.0704234991163015
"9",7.1758,20120820,28.27436281,-112.26327495,2012-08-20,"2012",NA,NA,0,"2012-08-20 12:00:00",-112.36327495,-112.16327495,28.17436281,28.37436281,15572,NA,NA,0.415222222435063,0.0781163600989672,261,"2012-08-20 12:00:00",-112.36327495,-112.16327495,28.17436281,28.37436281,15572,0.40599998831749,0.0726473925769329
"10",7.1759,20120820,28.26626259,-112.26918626,2012-08-20,"2012",NA,NA,0,"2012-08-20 12:00:00",-112.36918626,-112.16918626,28.16626259,28.36626259,15572,NA,NA,0.420452470901801,0.0721924659986527,263,"2012-08-20 12:00:00",-112.36918626,-112.16918626,28.16626259,28.36626259,15572,0.40599998831749,0.0696821865677834
