V1,V2,V3
-112.991666666667,29.9916666666667,-95
-112.975,29.9916666666667,-104
-112.958333333333,29.9916666666667,-109
-112.941666666667,29.9916666666667,-116
-112.925,29.9916666666667,-115
-112.908333333333,29.9916666666667,-112
-112.891666666667,29.9916666666667,-102
-112.875,29.9916666666667,-101
-112.858333333333,29.9916666666667,-97
-112.841666666667,29.9916666666667,-92
-112.825,29.9916666666667,-81
-112.808333333333,29.9916666666667,-55
-112.791666666667,29.9916666666667,-29
-112.775,29.9916666666667,-11
-112.758333333333,29.9916666666667,-5
-112.741666666667,29.9916666666667,23
-112.725,29.9916666666667,33
-112.708333333333,29.9916666666667,50
-112.691666666667,29.9916666666667,77
-112.675,29.9916666666667,99
-112.658333333333,29.9916666666667,116
-112.641666666667,29.9916666666667,130
-112.625,29.9916666666667,140
-112.608333333333,29.9916666666667,149
-112.591666666667,29.9916666666667,159
-112.575,29.9916666666667,180
-112.558333333333,29.9916666666667,217
-112.541666666667,29.9916666666667,265
-112.525,29.9916666666667,292
-112.508333333333,29.9916666666667,314
-112.491666666667,29.9916666666667,318
-112.475,29.9916666666667,330
-112.458333333333,29.9916666666667,357
-112.441666666667,29.9916666666667,386
-112.425,29.9916666666667,424
-112.408333333333,29.9916666666667,463
-112.391666666667,29.9916666666667,478
-112.375,29.9916666666667,473
-112.358333333333,29.9916666666667,455
-112.341666666667,29.9916666666667,445
-112.325,29.9916666666667,452
-112.308333333333,29.9916666666667,467
-112.291666666667,29.9916666666667,483
-112.275,29.9916666666667,500
-112.258333333333,29.9916666666667,522
-112.241666666667,29.9916666666667,542
-112.225,29.9916666666667,548
-112.208333333333,29.9916666666667,555
-112.191666666667,29.9916666666667,562
-112.175,29.9916666666667,569
-112.158333333333,29.9916666666667,578
-112.141666666667,29.9916666666667,587
-112.125,29.9916666666667,593
-112.108333333333,29.9916666666667,591
-112.091666666667,29.9916666666667,585
-112.075,29.9916666666667,589
-112.058333333333,29.9916666666667,596
-112.041666666667,29.9916666666667,601
-112.025,29.9916666666667,603
-112.008333333333,29.9916666666667,606
-111.991666666667,29.9916666666667,603
-111.975,29.9916666666667,610
-111.958333333333,29.9916666666667,621
-111.941666666667,29.9916666666667,634
-111.925,29.9916666666667,641
-111.908333333333,29.9916666666667,651
-111.891666666667,29.9916666666667,663
-111.875,29.9916666666667,675
-111.858333333333,29.9916666666667,688
-111.841666666667,29.9916666666667,702
-111.825,29.9916666666667,716
-111.808333333333,29.9916666666667,731
-111.791666666667,29.9916666666667,748
-111.775,29.9916666666667,765
-111.758333333333,29.9916666666667,791
-111.741666666667,29.9916666666667,829
-111.725,29.9916666666667,858
-111.708333333333,29.9916666666667,922
-111.691666666667,29.9916666666667,925
-111.675,29.9916666666667,939
-111.658333333333,29.9916666666667,913
-111.641666666667,29.9916666666667,909
-111.625,29.9916666666667,907
-111.608333333333,29.9916666666667,950
-111.591666666667,29.9916666666667,959
-111.575,29.9916666666667,935
-111.558333333333,29.9916666666667,907
-111.541666666667,29.9916666666667,864
-111.525,29.9916666666667,841
-111.508333333333,29.9916666666667,827
-111.491666666667,29.9916666666667,804
-111.475,29.9916666666667,799
-111.458333333333,29.9916666666667,805
-111.441666666667,29.9916666666667,810
-111.425,29.9916666666667,814
-111.408333333333,29.9916666666667,813
-111.391666666667,29.9916666666667,811
-111.375,29.9916666666667,808
-111.358333333333,29.9916666666667,800
-111.341666666667,29.9916666666667,789
-111.325,29.9916666666667,777
-111.308333333333,29.9916666666667,763
-111.291666666667,29.9916666666667,751
-111.275,29.9916666666667,740
-111.258333333333,29.9916666666667,742
-111.241666666667,29.9916666666667,750
-111.225,29.9916666666667,756
-111.208333333333,29.9916666666667,771
-111.191666666667,29.9916666666667,787
-111.175,29.9916666666667,784
-111.158333333333,29.9916666666667,776
-111.141666666667,29.9916666666667,753
-111.125,29.9916666666667,730
-111.108333333333,29.9916666666667,710
-111.091666666667,29.9916666666667,688
-111.075,29.9916666666667,669
-111.058333333333,29.9916666666667,651
-111.041666666667,29.9916666666667,634
-111.025,29.9916666666667,624
-111.008333333333,29.9916666666667,630
-110.991666666667,29.9916666666667,637
-110.975,29.9916666666667,652
-110.958333333333,29.9916666666667,669
-110.941666666667,29.9916666666667,689
-110.925,29.9916666666667,710
-110.908333333333,29.9916666666667,730
-110.891666666667,29.9916666666667,754
-110.875,29.9916666666667,781
-110.858333333333,29.9916666666667,809
-110.841666666667,29.9916666666667,856
-110.825,29.9916666666667,891
-110.808333333333,29.9916666666667,924
-110.791666666667,29.9916666666667,1064
-110.775,29.9916666666667,1114
