"","cruise_int","Date_M","Lat_M","Lon_M","date","year","X","mean.sst","stdev.sst","n","satellite.date","requested.lon.min","requested.lon.max","requested.lat.min","requested.lat.max","requested.date","median.sst","mad.sst","mean chlorophyll","stdev chlorophyll","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median chlorophyll","mad chlorophyll"
"15",1.1204,20051123,27.27513862,-111.90867863,2005-11-23,"2005",15,22.6000003814697,0,2,"2005-11-23 12:00:00",-112.00867863,-111.80867863,27.17513862,27.37513862,13110,22.6000003814697,0,0.584972228854895,0.410046804354098,36,"2005-11-23 12:00:00",-112.00867863,-111.80867863,27.17513862,27.37513862,13110,0.510500013828278,0.224613924390078
"16",1.1205,20051123,27.27006599,-111.9169802,2005-11-23,"2005",16,22.6000003814697,0,2,"2005-11-23 12:00:00",-112.00867863,-111.80867863,27.17513862,27.37513862,13110,22.6000003814697,0,0.584972228854895,0.410046804354098,36,"2005-11-23 12:00:00",-112.00867863,-111.80867863,27.17513862,27.37513862,13110,0.510500013828278,0.224613924390078
"17",1.1206,20051123,27.26499119,-111.92519353,2005-11-23,"2005",17,22.6000003814697,0,5,"2005-11-23 12:00:00",-112.02519353,-111.82519353,27.16499119,27.36499119,13110,22.6000003814697,0,0.590162171302615,0.40533440990735,37,"2005-11-23 12:00:00",-112.02519353,-111.82519353,27.16499119,27.36499119,13110,0.538999974727631,0.266867966419458
"18",1.1207,20051123,27.2598974,-111.93334551,2005-11-23,"2005",18,22.6000003814697,0,5,"2005-11-23 12:00:00",-112.03334551,-111.83334551,27.1598974,27.3598974,13110,22.6000003814697,0,0.611266679068406,0.444471411125374,30,"2005-11-23 12:00:00",-112.03334551,-111.83334551,27.1598974,27.3598974,13110,0.510500013828278,0.237216016790271
"19",1.1208,20051123,27.25462767,-111.94174389,2005-11-23,"2005",19,22.6000003814697,0,8,"2005-11-23 12:00:00",-112.04174389,-111.84174389,27.15462767,27.35462767,13110,22.6000003814697,0,0.698189200178997,0.64210881773612,37,"2005-11-23 12:00:00",-112.04174389,-111.84174389,27.15462767,27.35462767,13110,0.541000008583069,0.269833216613531
"20",1.1209,20051123,27.24950101,-111.95012511,2005-11-23,"2005",20,22.6000003814697,0,6,"2005-11-23 12:00:00",-112.05012511,-111.85012511,27.14950101,27.34950101,13110,22.6000003814697,0,0.843833349645138,0.860421453379772,30,"2005-11-23 12:00:00",-112.05012511,-111.85012511,27.14950101,27.34950101,13110,0.563000023365021,0.302450438529253
"21",1.121,20051123,27.24449065,-111.95814045,2005-11-23,"2005",21,23.2500003814697,0.890049155945895,5,"2005-11-23 12:00:00",-112.05814045,-111.85814045,27.14449065,27.34449065,13110,22.6000003814697,0,1.10070835550626,1.05564260729116,24,"2005-11-23 12:00:00",-112.05814045,-111.85814045,27.14449065,27.34449065,13110,0.604500025510788,0.363978341710567
"22",1.1211,20051123,27.2389923,-111.96715027,2005-11-23,"2005",22,23.0062503814697,0.8125,4,"2005-11-23 12:00:00",-112.06715027,-111.86715027,27.1389923,27.3389923,13110,22.6000003814697,0,1.25048389550178,1.23212750959768,31,"2005-11-23 12:00:00",-112.06715027,-111.86715027,27.1389923,27.3389923,13110,0.600000023841858,0.357306639236212
"23",1.1212,20051123,27.23524348,-111.97508157,2005-11-23,"2005",23,24.2250003814697,0,2,"2005-11-23 12:00:00",-112.07508157,-111.87508157,27.13524348,27.33524348,13110,24.2250003814697,0,1.38669567781946,1.37553822471382,23,"2005-11-23 12:00:00",-112.07508157,-111.87508157,27.13524348,27.33524348,13110,0.600000023841858,0.357306639236212
"24",1.1213,20051123,27.2414726,-111.98249839,2005-11-23,"2005",24,24.2250003814697,0,3,"2005-11-23 12:00:00",-112.08249839,-111.88249839,27.1414726,27.3414726,13110,24.2250003814697,0,2.02773687086607,1.78405075984591,19,"2005-11-23 12:00:00",-112.08249839,-111.88249839,27.1414726,27.3414726,13110,0.680999994277954,0.477397195404768
"25",1.1214,20051123,27.2475221,-111.99006036,2005-11-23,"2005",25,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.09006036,-111.89006036,27.1475221,27.3475221,13110,24.2250003814697,0,1.9261428798948,1.84962680955508,14,"2005-11-23 12:00:00",-112.09006036,-111.89006036,27.1475221,27.3475221,13110,0.680999994277954,0.477397195404768
"26",1.1215,20051123,27.25345878,-111.99743503,2005-11-23,"2005",26,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.09743503,-111.89743503,27.15345878,27.35345878,13110,24.2250003814697,0,2.8671538738104,1.9183563621441,13,"2005-11-23 12:00:00",-112.09743503,-111.89743503,27.15345878,27.35345878,13110,3.59100008010864,2.15570039434433
"27",1.1216,20051123,27.25955262,-112.00497256,2005-11-23,"2005",27,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.10497256,-111.90497256,27.15955262,27.35955262,13110,24.2250003814697,0,2.86877779165904,2.17399232622985,9,"2005-11-23 12:00:00",-112.10497256,-111.90497256,27.15955262,27.35955262,13110,2.17899990081787,2.69833185684085
"28",1.1217,20051123,27.26560333,-112.01247967,2005-11-23,"2005",28,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.11247967,-111.91247967,27.16560333,27.36560333,13110,24.2250003814697,0,6.0940910469402,6.15838631320405,11,"2005-11-23 12:00:00",-112.11247967,-111.91247967,27.16560333,27.36560333,13110,5.04500007629395,4.24913186016083
"29",1.1218,20051123,27.27170032,-112.02003451,2005-11-23,"2005",29,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.12003451,-111.92003451,27.17170032,27.37170032,13110,24.2250003814697,0,6.86673350334167,7.16012739212113,15,"2005-11-23 12:00:00",-112.12003451,-111.92003451,27.17170032,27.37170032,13110,2.85599994659424,1.83101084446907
"30",1.1219,20051123,27.27780091,-112.02732528,2005-11-23,"2005",30,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.12003451,-111.92003451,27.17170032,27.37170032,13110,24.2250003814697,0,6.86673350334167,7.16012739212113,15,"2005-11-23 12:00:00",-112.12003451,-111.92003451,27.17170032,27.37170032,13110,2.85599994659424,1.83101084446907
"31",1.122,20051123,27.28399678,-112.03471264,2005-11-23,"2005",31,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.13471264,-111.93471264,27.18399678,27.38399678,13110,24.2250003814697,0,8.93260004520416,12.4650260777279,20,"2005-11-23 12:00:00",-112.13471264,-111.93471264,27.18399678,27.38399678,13110,2.85599994659424,1.83101084446907
"32",1.1221,20051123,27.29015097,-112.04211209,2005-11-23,"2005",32,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.13471264,-111.93471264,27.18399678,27.38399678,13110,24.2250003814697,0,8.93260004520416,12.4650260777279,20,"2005-11-23 12:00:00",-112.13471264,-111.93471264,27.18399678,27.38399678,13110,2.85599994659424,1.83101084446907
"33",1.1222,20051123,27.29627155,-112.04945898,2005-11-23,"2005",33,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.14945898,-111.94945898,27.19627155,27.39627155,13110,24.2250003814697,0,7.7299654977075,10.7527695033565,29,"2005-11-23 12:00:00",-112.14945898,-111.94945898,27.19627155,27.39627155,13110,2.85599994659424,1.51966496465206
"34",1.1223,20051123,27.30238386,-112.05689881,2005-11-23,"2005",34,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.15689881,-111.95689881,27.20238386,27.40238386,13110,24.2250003814697,0,6.44037206228389,9.36318195959513,43,"2005-11-23 12:00:00",-112.15689881,-111.95689881,27.20238386,27.40238386,13110,2.7590000629425,1.65013385231495
