"","cruise_int","Date_M","Lat_M","Lon_M","date","year","mean sst","stdev sst","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median sst","mad sst","mean chlorophyll","stdev chlorophyll","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median chlorophyll","mad chlorophyll"
"1",8.1018,20130616,28.29824371,-112.18835958,2013-06-16,"2013",28.6383563572973,0.202444967390878,289,"2013-06-16 12:00:00",-112.28835958,-112.08835958,28.19824371,28.39824371,15872,28.6550006866455,0.207563095092773,0.25937658636009,0.0429153024983098,289,"2013-06-16 12:00:00",-112.28835958,-112.08835958,28.19824371,28.39824371,15872,0.252333343029022,0.0405243790268898
"2",8.1019,20130616,28.30176872,-112.19059056,2013-06-16,"2013",28.6383563572973,0.202444967390878,289,"2013-06-16 12:00:00",-112.28835958,-112.08835958,28.19824371,28.39824371,15872,28.6550006866455,0.207563095092773,0.25937658636009,0.0429153024983098,289,"2013-06-16 12:00:00",-112.28835958,-112.08835958,28.19824371,28.39824371,15872,0.252333343029022,0.0405243790268898
"3",8.258,20130620,28.53958262,-112.37316309,2013-06-20,"2013",28.0430017095124,0.267806836640223,289,"2013-06-20 12:00:00",-112.47316309,-112.27316309,28.43958262,28.63958262,15876,28.0949993133545,0.214974850845337,0.546579585149626,0.119340908448476,289,"2013-06-20 12:00:00",-112.47316309,-112.27316309,28.43958262,28.63958262,15876,0.529500007629395,0.144553450512886
"4",8.2581,20130620,28.54851069,-112.3717012,2013-06-20,"2013",28.0669809559225,0.271766164609102,289,"2013-06-20 12:00:00",-112.4717012,-112.2717012,28.44851069,28.64851069,15876,28.1100006103516,0.207565922927856,0.56617474081607,0.134691236997492,289,"2013-06-20 12:00:00",-112.4717012,-112.2717012,28.44851069,28.64851069,15876,0.545499980449677,0.166792473489046
"5",8.2582,20130620,28.55741869,-112.37033344,2013-06-20,"2013",28.0878892786363,0.26815784174612,289,"2013-06-20 12:00:00",-112.47033344,-112.27033344,28.45741869,28.65741869,15876,28.1200008392334,0.207565922927856,0.590257785415154,0.154669361257263,289,"2013-06-20 12:00:00",-112.47033344,-112.27033344,28.45741869,28.65741869,15876,0.569000005722046,0.194961908483505
"6",8.2583,20130620,28.56635518,-112.36896571,2013-06-20,"2013",28.0878892786363,0.26815784174612,289,"2013-06-20 12:00:00",-112.47033344,-112.27033344,28.45741869,28.65741869,15876,28.1200008392334,0.207565922927856,0.590257785415154,0.154669361257263,289,"2013-06-20 12:00:00",-112.47033344,-112.27033344,28.45741869,28.65741869,15876,0.569000005722046,0.194961908483505
"7",8.2615,20130620,28.46188786,-112.30189572,2013-06-20,"2013",28.0334090386237,0.24937360832695,286,"2013-06-20 12:00:00",-112.40189572,-112.20189572,28.36188786,28.56188786,15876,28.102499961853,0.181619122123718,0.435550347280999,0.0590379891422583,288,"2013-06-20 12:00:00",-112.40189572,-112.20189572,28.36188786,28.56188786,15876,0.425000011920929,0.0392888802051544
"8",8.2616,20130620,28.46556881,-112.30971089,2013-06-20,"2013",28.0191170752465,0.256505933919972,286,"2013-06-20 12:00:00",-112.40971089,-112.20971089,28.36556881,28.56556881,15876,28.0824995040894,0.196442633628845,0.43930034732653,0.0591571226642185,288,"2013-06-20 12:00:00",-112.40971089,-112.20971089,28.36556881,28.56556881,15876,0.428000003099442,0.0385475897490978
"9",8.2617,20130620,28.46943986,-112.31491117,2013-06-20,"2013",28.0233478546143,0.258454411520565,286,"2013-06-20 12:00:00",-112.41491117,-112.21491117,28.36943986,28.56943986,15876,28.0924997329712,0.192738169670105,0.447026041543318,0.0595491473450716,288,"2013-06-20 12:00:00",-112.41491117,-112.21491117,28.36943986,28.56943986,15876,0.435000002384186,0.0422541303992271
"10",8.2618,20130620,28.47275164,-112.32571795,2013-06-20,"2013",28.0092569364534,0.261035778226856,286,"2013-06-20 12:00:00",-112.42571795,-112.22571795,28.37275164,28.57275164,15876,28.0750007629395,0.200149925422668,0.451237846890257,0.0608038168548997,288,"2013-06-20 12:00:00",-112.42571795,-112.22571795,28.37275164,28.57275164,15876,0.43699999153614,0.0437367113113403
"11",8.2619,20130620,28.47416822,-112.33543752,2013-06-20,"2013",27.9955156766451,0.261925836787901,286,"2013-06-20 12:00:00",-112.43543752,-112.23543752,28.37416822,28.57416822,15876,28.0599994659424,0.207565922927856,0.457373263728287,0.0638469309228046,288,"2013-06-20 12:00:00",-112.43543752,-112.23543752,28.37416822,28.57416822,15876,0.439999982714653,0.0459605605870485
