"","mean sst","stdev sst","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median sst","mad sst"
"2042",29.8657420465045,0.173514448708618,283,"2007-07-31 12:00:00",-112.30258938,-112.10258938,28.54068505,28.74068505,13725,29.8600006103516,0.177910416412354
"2043",29.8876607009343,0.189357506807171,280,"2007-07-31 12:00:00",-112.29392421,-112.09392421,28.54555657,28.74555657,13725,29.8899993896484,0.17049866065979
"2044",29.8850351991788,0.190747619644502,284,"2007-07-31 12:00:00",-112.28464951,-112.08464951,28.54987786,28.74987786,13725,29.8799991607666,0.185325
"2045",29.880277759499,0.190447255390796,288,"2007-07-31 12:00:00",-112.27527113,-112.07527113,28.55341462,28.75341462,13725,29.8625001907349,0.192738169670105
"2046",29.9117421538988,0.222090593301016,287,"2007-07-31 12:00:00",-112.26545608,-112.06545608,28.55701645,28.75701645,13725,29.8899993896484,0.192739583587646
"2047",29.912465274334,0.219137109932826,288,"2007-07-31 12:00:00",-112.25347462,-112.05347462,28.56137167,28.76137167,13725,29.8950004577637,0.185325
"2048",29.912465274334,0.219137109932826,288,"2007-07-31 12:00:00",-112.25347462,-112.05347462,28.56137167,28.76137167,13725,29.8950004577637,0.185325
"2049",29.912465274334,0.219137109932826,288,"2007-07-31 12:00:00",-112.25347462,-112.05347462,28.56137167,28.76137167,13725,29.8950004577637,0.185325
"2050",29.8800864962146,0.187304289693372,289,"2007-07-31 12:00:00",-112.24260515,-112.04260515,28.55154721,28.75154721,13725,29.8649997711182,0.185325
"2051",29.8800864962146,0.187304289693372,289,"2007-07-31 12:00:00",-112.24260515,-112.04260515,28.55154721,28.75154721,13725,29.8649997711182,0.185325
"2052",29.870467116676,0.180374923456162,289,"2007-07-31 12:00:00",-112.22562043,-112.02562043,28.54123443,28.74123443,13725,29.8600006103516,0.177913244247437
"2053",29.8881314683538,0.188789909749137,289,"2007-07-31 12:00:00",-112.21689541,-112.01689541,28.53641853,28.73641853,13725,29.875,0.185325
"2054",29.8881314683538,0.188789909749137,289,"2007-07-31 12:00:00",-112.21689541,-112.01689541,28.53641853,28.73641853,13725,29.875,0.185325
"2055",29.8916435769685,0.19952195104777,289,"2007-07-31 12:00:00",-112.1996627,-111.9996627,28.52672002,28.72672002,13725,29.8799991607666,0.185325
"2056",29.9102767957536,0.222478364585258,289,"2007-07-31 12:00:00",-112.19106309,-111.99106309,28.52186777,28.72186777,13725,29.8950004577637,0.20015133934021
"2057",29.8940830428708,0.210735988973239,289,"2007-07-31 12:00:00",-112.1824885,-111.9824885,28.51694571,28.71694571,13725,29.875,0.185325
"2058",29.9165224913495,0.224152948367288,289,"2007-07-31 12:00:00",-112.17389402,-111.97389402,28.51198266,28.71198266,13725,29.8950004577637,0.207565922927856
"2059",29.9401038080763,0.235455701310129,289,"2007-07-31 12:00:00",-112.16535688,-111.96535688,28.50706717,28.70706717,13725,29.9099998474121,0.22980401802063
"2060",29.9320934322054,0.227863403115443,289,"2007-07-31 12:00:00",-112.15672913,-111.95672913,28.50223655,28.70223655,13725,29.9099998474121,0.222389434432983
"2061",29.9594636606923,0.247955093654674,289,"2007-07-31 12:00:00",-112.14796026,-111.94796026,28.49760012,28.69760012,13725,29.9249992370605,0.252042113113403
"2062",29.9818684931032,0.245123890538754,289,"2007-07-31 12:00:00",-112.139109,-111.939109,28.49311798,28.69311798,13725,29.9500007629395,0.252042113113403
"2063",30.0160242848926,0.26873894815443,288,"2007-07-31 12:00:00",-112.13097044,-111.93097044,28.48767524,28.68767524,13725,29.9699993133545,0.26686562461853
"2064",30.0160242848926,0.26873894815443,288,"2007-07-31 12:00:00",-112.13097044,-111.93097044,28.48767524,28.68767524,13725,29.9699993133545,0.26686562461853
"2065",30.0364930364821,0.282727522423913,288,"2007-07-31 12:00:00",-112.11528303,-111.91528303,28.47613325,28.67613325,13725,30,0.274280208206177
"2066",30.0364930364821,0.282727522423913,288,"2007-07-31 12:00:00",-112.11528303,-111.91528303,28.47613325,28.67613325,13725,30,0.274280208206177
"2067",30.0704253117243,0.293213732651429,288,"2007-07-31 12:00:00",-112.09961202,-111.89961202,28.464556,28.664556,13725,30.0675001144409,0.296519717216492
"2068",30.1115996154038,0.303905395211099,286,"2007-07-31 12:00:00",-112.09180533,-111.89180533,28.45871897,28.65871897,13725,30.0950002670288,0.300225595092773
"2069",30.1029253005981,0.292365103298827,288,"2007-07-31 12:00:00",-112.0837955,-111.8837955,28.45275897,28.65275897,13725,30.0900001525879,0.289106547546387
"2070",30.1029253005981,0.292365103298827,288,"2007-07-31 12:00:00",-112.0837955,-111.8837955,28.45275897,28.65275897,13725,30.0900001525879,0.289106547546387
"2071",30.0917300517996,0.281449516187692,289,"2007-07-31 12:00:00",-112.08808423,-111.88808423,28.43617555,28.63617555,13725,30.0849990844727,0.28169196395874
"2072",30.0704843989706,0.268914077394378,289,"2007-07-31 12:00:00",-112.09128377,-111.89128377,28.42714645,28.62714645,13725,30.0550003051758,0.274280208206177
"2073",30.0298442510585,0.253596624995906,289,"2007-07-31 12:00:00",-112.09425576,-111.89425576,28.41888992,28.61888992,13725,30.0200004577637,0.252042113113403
"2074",30.0144722882439,0.24578486594669,289,"2007-07-31 12:00:00",-112.09823665,-111.89823665,28.40813356,28.60813356,13725,30.0149993896484,0.24463035736084
"2075",29.9971972006827,0.232774291747702,289,"2007-07-31 12:00:00",-112.10066586,-111.90066586,28.40156662,28.60156662,13725,30,0.222389434432983
"2076",29.9896366488975,0.226485345523742,289,"2007-07-31 12:00:00",-112.10334649,-111.90334649,28.39259656,28.59259656,13725,29.9899997711182,0.218684970474243
"2077",29.9896366488975,0.226485345523742,289,"2007-07-31 12:00:00",-112.10334649,-111.90334649,28.39259656,28.59259656,13725,29.9899997711182,0.218684970474243
"2078",29.9634861335622,0.208302440199,289,"2007-07-31 12:00:00",-112.10799047,-111.90799047,28.37580351,28.57580351,13725,29.9699993133545,0.20015133934021
"2079",29.9443598420562,0.212011825822231,289,"2007-07-31 12:00:00",-112.11110975,-111.91110975,28.36455502,28.56455502,13725,29.9650001525879,0.20015133934021
