"","cruise_int","Date_M","Lat_M","Lon_M"
"112","1.1532",20051124,27.77353546,-112.5471413
"113","1.1533",20051124,27.78202839,-112.55040906
"114","1.1534",20051124,27.79063113,-112.5536889
"115","1.1535",20051124,27.79905965,-112.55712588
"116","1.1536",20051124,27.80747567,-112.56059339
"117","1.1537",20051124,27.81587189,-112.56405404
"118","1.1538",20051124,27.82434854,-112.56772458
"119","1.1539",20051124,27.8328138,-112.57131023
"120","1.1540",20051124,27.84123934,-112.57499337
"121","1.1541",20051124,27.84963982,-112.57866483
"122","1.1542",20051124,27.8580405,-112.58261554
"123","1.1543",20051124,27.86637219,-112.58644999
"124","1.1544",20051124,27.87466311,-112.59040279
"125","1.1545",20051124,27.88289276,-112.59434311
"126","1.1546",20051124,27.89122792,-112.59834679
"127","1.1547",20051124,27.89950376,-112.60226783
"128","1.1548",20051124,27.90785798,-112.60617673
"129","1.1549",20051124,27.91616868,-112.61006024
"130","1.1550",20051124,27.92455957,-112.61400571
"131","1.1551",20051124,27.93273912,-112.61799117
"132","1.1552",20051124,27.94109347,-112.62190448
"133","1.1553",20051124,27.94945874,-112.6259048
"134","1.1554",20051124,27.95781062,-112.62948523
"135","1.1555",20051124,27.96635613,-112.63297586
"136","1.1556",20051124,27.97480797,-112.63640709
"137","1.1557",20051124,27.98327412,-112.63982621
"138","1.1558",20051124,27.99181046,-112.64328782
"139","1.1559",20051124,28.00028867,-112.64663732
"140","1.1560",20051124,28.00893954,-112.64968594
"141","1.1561",20051124,28.0176593,-112.65256229
"142","1.1562",20051124,28.02360905,-112.65471177
"143","1.1568",20051124,28.08152723,-112.66551102
"144","1.1569",20051124,28.0804383,-112.66565053
"145","1.1570",20051124,28.08650754,-112.65586435
"146","1.1571",20051124,28.09129837,-112.64712207
"147","1.1572",20051124,28.09577421,-112.63818117
"148","1.1573",20051124,28.10062259,-112.62968558
"149","1.1743",20051124,28.52016333,-112.53439154
"150","1.1744",20051124,28.51429949,-112.5420703
"151","1.1745",20051124,28.50850482,-112.54980165
"152","1.1746",20051124,28.5026191,-112.5576148
"153","1.1747",20051124,28.49682161,-112.56531252
"154","1.1748",20051124,28.4910194,-112.57309581
"155","1.1749",20051124,28.48519577,-112.58096151
"156","1.1750",20051124,28.47960462,-112.58885118
"157","1.1751",20051124,28.47392175,-112.59684222
"158","1.1752",20051124,28.46830677,-112.60471525
"159","1.1753",20051124,28.462722,-112.61278654
"160","1.1754",20051124,28.45715202,-112.62079264
"161","1.1755",20051124,28.45156465,-112.62889202
"162","1.1756",20051124,28.44604746,-112.63695632
"163","1.1757",20051124,28.44062749,-112.64505581
"164","1.1758",20051124,28.43529722,-112.65327105
"165","1.1759",20051124,28.42998017,-112.66149999
"166","1.522",20051121,25.96207883,-111.00623785
"167","1.523",20051121,25.97104604,-111.00622745
"168","1.524",20051121,25.98007269,-111.00627424
"169","1.525",20051121,25.98911667,-111.00636732
"170","1.526",20051121,25.99807851,-111.00642803
"171","1.527",20051121,26.00709329,-111.0064451
"172","1.528",20051121,26.01605018,-111.00627897
"173","1.529",20051121,26.02507309,-111.00614635
"174","1.530",20051121,26.03409096,-111.00586786
"175","1.531",20051121,26.04313802,-111.00543651
"176","1.532",20051121,26.05205112,-111.00462715
"177","1.533",20051121,26.06096524,-111.00365993
"178","1.534",20051121,26.06992933,-111.00262321
"179","1.535",20051121,26.07878699,-111.00259342
"180","1.536",20051121,26.08254932,-111.0114449
"181","1.537",20051121,26.0863034,-111.02052178
"182","1.538",20051121,26.09024509,-111.02947157
"183","1.539",20051121,26.09465064,-111.03918338
"184","1.540",20051121,26.09840242,-111.04741265
"185","1.541",20051121,26.10233053,-111.0563232
"186","1.542",20051121,26.1064007,-111.06530596
"187","1.543",20051121,26.11028841,-111.0741543
"188","1.544",20051121,26.11424729,-111.08294876
"189","1.545",20051121,26.11766456,-111.09098284
"190","1.546",20051121,26.12199682,-111.10088591
"191","1.547",20051121,26.12599008,-111.10993165
"192","1.548",20051121,26.12975396,-111.11855706
"193","1.549",20051121,26.13342022,-111.1270332
"194","1.550",20051121,26.13759036,-111.13662131
"195","1.551",20051121,26.1415251,-111.14558175
"196","1.552",20051121,26.14544788,-111.15460687
"197","1.553",20051121,26.14940709,-111.16354474
"198","1.554",20051121,26.15336611,-111.17249804
"199","1.555",20051121,26.1573492,-111.18143947
"200","1.556",20051121,26.16131224,-111.19037499
"201","1.557",20051121,26.16479631,-111.19961704
"202","1.558",20051121,26.16807667,-111.20902071
"203","1.559",20051121,26.17140001,-111.21830585
"204","1.560",20051121,26.17477399,-111.22752935
"205","1.561",20051121,26.17823175,-111.23676994
"206","1.562",20051121,26.18180115,-111.24592734
"207","1.563",20051121,26.18528484,-111.25509002
"208","1.564",20051121,26.18823145,-111.26470489
"209","1.565",20051121,26.1915177,-111.27472274
"210","1.566",20051121,26.19447827,-111.28322336
"211","1.567",20051121,26.19792099,-111.2938264
"212","1.568",20051121,26.19799135,-111.30385297
"213","1.847",20051122,26.77456339,-111.30443916
"214","1.848",20051122,26.77078754,-111.31360027
"215","1.849",20051122,26.76700704,-111.32268945
"216","1.850",20051122,26.76333305,-111.33183681
"217","1.851",20051122,26.75967094,-111.34083983
"218","1.852",20051122,26.75571925,-111.34974466
"219","1.853",20051122,26.7510285,-111.35827399
"220","1.854",20051122,26.74622202,-111.36670704
"221","1.855",20051122,26.74180829,-111.37531906
"222","1.856",20051122,26.73768767,-111.38422887
"223","1.857",20051122,26.73351835,-111.39320278
"224","1.858",20051122,26.72942895,-111.402115
"225","1.859",20051122,26.72518129,-111.41094816
"226","1.860",20051122,26.72093171,-111.41971947
"227","1.861",20051122,26.71655671,-111.42841236
"228","1.862",20051122,26.71183531,-111.43697421
"229","1.863",20051122,26.70708591,-111.44549539
"230","1.864",20051122,26.70234069,-111.45398737
"231","1.865",20051122,26.6976305,-111.46248243
"232","1.866",20051122,26.69374678,-111.46955656
"233","1.867",20051122,26.69974123,-111.48168448
"234","1.868",20051122,26.70369618,-111.48670562
"235","1.869",20051122,26.7090543,-111.49383331
"236","1.870",20051122,26.7147612,-111.50046724
"237","1.871",20051122,26.72110462,-111.50815444
"238","1.872",20051122,26.72694645,-111.51557557
"239","1.873",20051122,26.73282427,-111.52321078
"240","1.874",20051122,26.73843664,-111.53110272
"241","1.875",20051122,26.74400199,-111.53904734
"242","1.876",20051122,26.74939356,-111.54688894
"243","1.877",20051122,26.75477352,-111.55485011
"244","1.878",20051122,26.76021762,-111.56297564
"245","1.879",20051122,26.76576703,-111.57131126
"246","1.880",20051122,26.77087267,-111.57922315
"247","1.882",20051122,26.78200364,-111.59485815
"248","1.883",20051122,26.78821375,-111.6022648
"249","1.884",20051122,26.7943988,-111.60957366
"250","1.885",20051122,26.80059528,-111.6169989
"251","1.886",20051122,26.80665343,-111.62429627
"252","1.887",20051122,26.81272202,-111.63151174
"253","1.888",20051122,26.81893481,-111.63884641
"254","1.889",20051122,26.82509372,-111.64622637
"255","1.890",20051122,26.83113584,-111.65352658
"256","1.891",20051122,26.83730451,-111.66079691
"257","1.892",20051122,26.84379674,-111.66793675
"258","1.893",20051122,26.85016997,-111.67502377
"259","1.894",20051122,26.85653103,-111.68210744
"260","1.895",20051122,26.86258217,-111.68951339
"261","1.896",20051122,26.86784016,-111.69767019
"262","1.897",20051122,26.87280712,-111.70591402
"263","1.898",20051122,26.87794291,-111.71431903
"264","1.899",20051122,26.88285496,-111.72258093
"265","1.900",20051122,26.88855328,-111.73206497
"266","1.901",20051122,26.89280113,-111.73889745
"267","1.902",20051122,26.89896866,-111.7465342
"268","1.903",20051122,26.90521593,-111.75412366
"269","1.904",20051122,26.91203804,-111.76209946
"270","1.905",20051122,26.91524144,-111.76768051
"271","1.906",20051122,26.90370423,-111.7650817
"272","1.1128",20051122,27.678263,-111.31207115
"273","1.1129",20051122,27.67263029,-111.32009079
"274","1.1130",20051122,27.66696904,-111.32802016
"275","1.1131",20051122,27.66139341,-111.33591758
"276","1.1132",20051122,27.65565219,-111.34375677
"277","1.1133",20051122,27.64988437,-111.35153432
"278","1.1134",20051122,27.64394802,-111.35938786
"279","1.1135",20051122,27.63816558,-111.36695132
"280","1.1136",20051122,27.63228825,-111.37464596
"281","1.1137",20051122,27.62703639,-111.38274922
"282","1.1138",20051122,27.62183651,-111.39107221
"283","1.1139",20051122,27.61666665,-111.39936525
"284","1.1140",20051122,27.61144863,-111.40758298
"285","1.1141",20051122,27.60614347,-111.41573593
"286","1.1142",20051122,27.60080142,-111.42390514
"287","1.1143",20051122,27.5954612,-111.43218473
"288","1.1144",20051122,27.59016846,-111.44034551
"289","1.1145",20051122,27.58503455,-111.44845319
"290","1.1146",20051122,27.57967259,-111.45663523
"291","1.1147",20051122,27.5743629,-111.46480925
"292","1.1148",20051122,27.56900989,-111.47289866
"293","1.1149",20051122,27.56358792,-111.48100189
"294","1.1150",20051122,27.55811857,-111.48915271
"295","1.1151",20051122,27.55267391,-111.49715678
"296","1.1152",20051122,27.54723804,-111.50514374
"297","1.1153",20051122,27.54239073,-111.51371109
"298","1.1154",20051122,27.53824849,-111.52272582
"299","1.1155",20051122,27.53394887,-111.53158495
"300","1.1156",20051122,27.52877793,-111.53993175
"301","1.1157",20051122,27.52319199,-111.5477301
"302","1.1158",20051122,27.51761615,-111.55567188
"303","1.1159",20051122,27.51209747,-111.5636948
"304","1.1160",20051122,27.50662225,-111.57179839
"305","1.1161",20051122,27.50114174,-111.57985271
"306","1.1162",20051122,27.49568143,-111.58778039
"307","1.1163",20051122,27.49004712,-111.5956092
"308","1.1164",20051122,27.48430335,-111.60343521
"309","1.1165",20051122,27.47852783,-111.61127701
"310","1.1166",20051122,27.47276165,-111.61896658
"311","1.1167",20051122,27.4666786,-111.6265013
"312","1.1168",20051122,27.46039178,-111.63373029
"313","1.1169",20051122,27.45424139,-111.64118175
"314","1.1170",20051122,27.44876841,-111.64900641
"315","1.1171",20051122,27.44315028,-111.65702038
"316","1.1172",20051122,27.43762646,-111.66506534
"317","1.1173",20051122,27.43223469,-111.67312788
"318","1.1174",20051122,27.42685766,-111.68120278
"319","1.1175",20051122,27.42173604,-111.68937844
"320","1.1176",20051123,27.41647864,-111.69770554
"321","1.1177",20051123,27.41149399,-111.70581517
"322","1.1178",20051123,27.40617471,-111.71418669
"323","1.1179",20051123,27.40127532,-111.72210153
"324","1.1180",20051123,27.39613928,-111.73045773
"325","1.1181",20051123,27.39111591,-111.73875154
"326","1.1182",20051123,27.38616446,-111.74711735
"327","1.1183",20051123,27.38099475,-111.75543544
"328","1.1184",20051123,27.37571302,-111.76355619
"329","1.1185",20051123,27.37041383,-111.77181671
"330","1.1186",20051123,27.36514742,-111.78005482
"331","1.1187",20051123,27.35991622,-111.78825695
"332","1.1188",20051123,27.35471825,-111.79648605
"333","1.1189",20051123,27.34951876,-111.80475645
"334","1.1469",20051123,28.02436932,-112.07181943
"335","1.1470",20051123,28.01917543,-112.08005384
"336","1.1471",20051123,28.01375393,-112.0881998
"337","1.1472",20051123,28.00838763,-112.0963457
"338","1.1473",20051123,28.00285583,-112.1044174
"339","1.1474",20051123,27.99744999,-112.11254185
"340","1.1475",20051123,27.9919317,-112.12056884
"341","1.1476",20051123,27.9862451,-112.1284268
"342","1.1477",20051123,27.98061436,-112.13632971
"343","1.1478",20051123,27.9749679,-112.14425532
"344","1.1479",20051123,27.9692792,-112.15204981
"345","1.1480",20051123,27.96349349,-112.15986377
"346","1.1481",20051123,27.95775109,-112.16765114
"347","1.1482",20051123,27.95197985,-112.17552074
"348","1.1483",20051123,27.94634912,-112.18342887
"349","1.1484",20051123,27.94092909,-112.19157076
