id,capture_lat,capture_lon,locality,capture_month,capture_year,sex,maturity state,mantle_length,weight,notes
CAPEXII_057,27.503,-111.781,,7,2017,F,3,18.4,0.14754,
CAPEXII_058,27.503,-111.781,,7,2017,F,3,15.9,0.09738,
CAPEXII_059,27.597,-111.609,,7,2017,F,2,15.3,0.08809,
CAPEXII_060,27.597,-111.609,,7,2017,M,4,16.7,0.1117,
CAPEXII_061,27.948,-112.327,,7,2017,F,2,13.3,0.06056,
CAPEXII_062,27.948,-112.327,,7,2017,F,5,20,0.21386,
CAPEXII_063,27.948,-112.327,,7,2017,F,5,19.8,0.20804,
CAPEXII_064,27.948,-112.327,,7,2017,F,5,21.9,0.27288,
CAPEXII_065,27.948,-112.327,,7,2017,F,5,23.3,0.33572,
CAPEXII_066,27.948,-112.327,,7,2017,F,2,15.6,0.09827,
CAPEXII_067,27.948,-112.327,,7,2017,F,5,22.5,0.29377,
CAPEXII_068,27.948,-112.327,,7,2017,F,2,14.2,0.07578,
CAPEXII_069,27.948,-112.327,,7,2017,F,4,17.8,0.14703,
CAPEXII_070,27.948,-112.327,,7,2017,M,5,15.9,0.10111,
CAPEXII_071,27.948,-112.327,,7,2017,F,4,18.6,0.1589,
CAPEXII_072,27.948,-112.327,,7,2017,M,5,15.4,0.08692,
CAPEXII_073,27.948,-112.327,,7,2017,M,5,17.6,0.13025,
CAPEXII_074,27.597,-111.609,,7,2017,F,5,17,0.12885,
CAPEXII_075,27.597,-111.609,,7,2017,F,4,18,0.13105,
CAPEXII_076,27.597,-111.609,,7,2017,F,2,15.5,0.08693,
CAPEXII_077,27.597,-111.609,,7,2017,F,5,21.5,0.23134,
CAPEXII_078,27.597,-111.609,,7,2017,F,3,19,0.16968,
CAPEXII_079,27.108,-110.557,,7,2017,M,5,22.2,0.26604,
CAPEXII_080,27.108,-110.557,,7,2017,M,5,28.7,0.20946,
CAPEXII_081,27.108,-110.557,,7,2017,F,5,22,0.26001,
CAPEXII_082,27.108,-110.557,,7,2017,F,5,25.6,0.39664,
CAPEXII_083,27.369,-112.203,,7,2017,F,4,24.5,0.39327,
CAPEXII_084,27.369,-112.203,,7,2017,F,5,20.6,0.2332,
CAPEXII_085,27.369,-112.203,,7,2017,F,5,20.8,0.19883,
CAPEXII_086,27.369,-112.203,,7,2017,F,5,23.3,0.28886,
CAPEXII_087,27.472,-112.035,,7,2017,F,5,24.3,0.31796,
CAPEXII_088,27.472,-112.035,,7,2017,F,5,24.3,0.33542,
CAPEXII_089,27.948,-112.327,,7,2017,M,3,15,0.07833,
CAPEXII_090,27.948,-112.327,,7,2017,F,5,18.3,0.16503,
CAPEXII_091,27.948,-112.327,,7,2017,F,5,19.1,0.18065,
CAPEXII_092,27.948,-112.327,,7,2017,M,5,16.7,0.10523,
CAPEXII_093,27.948,-112.327,,7,2017,M,5,16.7,0.10433,
CAPEXII_094,27.948,-112.327,,7,2017,M,5,15.9,0.08074,
CAPEXII_095,27.948,-112.327,,7,2017,F,4,20,0.21747,
CAPEXII_096,27.948,-112.327,,7,2017,F,5,20.5,0.19646,
CAPEXII_097,27.948,-112.327,,7,2017,F,5,18.6,0.17264,
CAPEXII_098,27.948,-112.327,,7,2017,F,5,20.3,0.21431,
CAPEXII_099,27.948,-112.327,,7,2017,M,2,11.6,0.03637,
CAPEXII_100,27.948,-112.327,,7,2017,F,4,18.5,0.16671,
CAPEXII_101,27.597,-111.609,,7,2017,F,5,21,0.2148,
CAPEXII_102,27.597,-111.609,,7,2017,F,5,20.1,0.1817,
CAPEXII_103,27.597,-111.609,,7,2017,F,5,21.9,0.232,
CAPEXII_104,27.597,-111.609,,7,2017,F,5,21.4,0.198,
CAPEXII_105,27.597,-111.609,,7,2017,F,5,20.7,0.209,
CAPEXII_106,27.597,-111.609,,7,2017,F,5,21.5,0.178,
